# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
CDS	with_protein	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	2035889	2036443	+	ABX29896.1			DNA-directed DNA polymerase III			USA300HOU_1893	555	184	
gene	protein_coding	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	2036511	2037551	-							USA300HOU_1894	1041		
CDS	with_protein	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	2036511	2037551	-	ABX29897.1			DNA-directed DNA polymerase IV			USA300HOU_1894	1041	346	
gene	protein_coding	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	2037828	2038358	-							USA300HOU_1895	531		
CDS	with_protein	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	2037828	2038358	-	ABX29898.1			hypothetical protein			USA300HOU_1895	531	176	
gene	protein_coding	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	2038528	2039889	-							USA300HOU_1896	1362		
CDS	with_protein	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	2038528	2039889	-	ABX29899.1			TrmA family RNA methyltransferase			USA300HOU_1896	1362	453	
gene	protein_coding	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	2039970	2040917	-							USA300HOU_1897	948		
CDS	with_protein	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	2039970	2040917	-	ABX29900.1			hypothetical protein			USA300HOU_1897	948	315	
gene	pseudogene	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	2040998	2041150	-							USA300HOU_1898	153		pseudo
gene	protein_coding	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	2041500	2041646	-							USA300HOU_1899	147		
CDS	with_protein	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	2041500	2041646	-	ABX29901.1			hypothetical protein			USA300HOU_1899	147	48	
gene	protein_coding	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	2041686	2043113	-					gatB2		USA300HOU_1900	1428		
CDS	with_protein	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	2041686	2043113	-	ABX29902.1			glutamyl-tRNA(Gln) amidotransferase subunit B	gatB2		USA300HOU_1900	1428	475	
gene	protein_coding	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	2043126	2044583	-					gatA2		USA300HOU_1901	1458		
CDS	with_protein	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	2043126	2044583	-	ABX29903.1			glutamyl-tRNA(Gln) amidotransferase subunit A	gatA2		USA300HOU_1901	1458	485	
gene	protein_coding	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	2044585	2044887	-					gatC2		USA300HOU_1902	303		
CDS	with_protein	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	2044585	2044887	-	ABX29904.1			glutamyl-tRNA(Gln) amidotransferase subunit C	gatC2		USA300HOU_1902	303	100	
gene	protein_coding	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	2045254	2046792	+					putP		USA300HOU_1903	1539		
CDS	with_protein	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	2045254	2046792	+	ABX29905.1			SSS family solute:sodium (Na+)/proline symporter	putP		USA300HOU_1903	1539	512	
gene	protein_coding	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	2046881	2048086	-					camS		USA300HOU_1904	1206		
CDS	with_protein	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	2046881	2048086	-	ABX29906.1			pheromone lipoprotein CamS	camS		USA300HOU_1904	1206	401	
gene	protein_coding	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	2048093	2050096	-							USA300HOU_1905	2004		
CDS	with_protein	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	2048093	2050096	-	ABX29907.1			DNA ligase (NAD(+))			USA300HOU_1905	2004	667	
gene	protein_coding	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	2050100	2052292	-					pcrA		USA300HOU_1906	2193		
CDS	with_protein	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	2050100	2052292	-	ABX29908.1			ATP-dependent DNA helicase PcrA	pcrA		USA300HOU_1906	2193	730	
gene	protein_coding	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	2052289	2052981	-					pcrB		USA300HOU_1907	693		
CDS	with_protein	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	2052289	2052981	-	ABX29909.1			PcrB family protein	pcrB		USA300HOU_1907	693	230	
gene	protein_coding	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	2053153	2053455	-							USA300HOU_1908	303		
CDS	with_protein	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	2053153	2053455	-	ABX29910.1			possible Trp repressor			USA300HOU_1908	303	100	
gene	protein_coding	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	2053564	2054859	-					purB		USA300HOU_1909	1296		
CDS	with_protein	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	2053564	2054859	-	ABX29911.1			adenylosuccinate lyase	purB		USA300HOU_1909	1296	431	
gene	protein_coding	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	2055720	2056886	+							USA300HOU_1910	1167		
CDS	with_protein	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	2055720	2056886	+	ABX29912.1			C47 family staphopain protease			USA300HOU_1910	1167	388	
gene	protein_coding	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	2056917	2057243	+							USA300HOU_1911	327		
CDS	with_protein	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	2056917	2057243	+	ABX29913.1			hypothetical protein			USA300HOU_1911	327	108	
gene	protein_coding	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	2057535	2057708	-							USA300HOU_1912	174		
CDS	with_protein	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	2057535	2057708	-	ABX29914.1			hypothetical protein			USA300HOU_1912	174	57	
gene	protein_coding	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	2057689	2058291	-							USA300HOU_1913	603		
CDS	with_protein	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	2057689	2058291	-	ABX29915.1			hypothetical membrane protein			USA300HOU_1913	603	200	
gene	protein_coding	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	2058562	2059383	-					nadE		USA300HOU_1914	822		
CDS	with_protein	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	2058562	2059383	-	ABX29916.1			NAD(+) synthase	nadE		USA300HOU_1914	822	273	
gene	protein_coding	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	2059376	2060845	-							USA300HOU_1915	1470		
CDS	with_protein	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	2059376	2060845	-	ABX29917.1			nicotinate phosphoribosyltransferase			USA300HOU_1915	1470	489	
gene	protein_coding	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	2061029	2062105	+							USA300HOU_1916	1077		
CDS	with_protein	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	2061029	2062105	+	ABX29918.1			nitric-oxide synthase, oxygenase subunit			USA300HOU_1916	1077	358	
gene	protein_coding	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	2062125	2062919	+					pheA		USA300HOU_1917	795		
CDS	with_protein	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	2062125	2062919	+	ABX29919.1			prephenate dehydratase	pheA		USA300HOU_1917	795	264	
gene	protein_coding	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	2063109	2064671	-							USA300HOU_1918	1563		
CDS	with_protein	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	2063109	2064671	-	ABX29920.1			DASS family divalent anion:sodium (Na+) symporter			USA300HOU_1918	1563	520	
gene	protein_coding	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	2064876	2065973	-							USA300HOU_1919	1098		
CDS	with_protein	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	2064876	2065973	-	ABX29921.1			hypothetical protein			USA300HOU_1919	1098	365	
gene	protein_coding	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	2066345	2066905	+							USA300HOU_1920	561		
CDS	with_protein	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	2066345	2066905	+	ABX29922.1			nicotinamidase			USA300HOU_1920	561	186	
gene	protein_coding	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	2066958	2067887	+					ppaC		USA300HOU_1921	930		
CDS	with_protein	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	2066958	2067887	+	ABX29923.1			inorganic diphosphatase	ppaC		USA300HOU_1921	930	309	
gene	protein_coding	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	2068082	2068255	-							USA300HOU_1922	174		
CDS	with_protein	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	2068082	2068255	-	ABX29924.1			hypothetical protein			USA300HOU_1922	174	57	
gene	protein_coding	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	2068307	2069686	+					aldH1		USA300HOU_1923	1380		
CDS	with_protein	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	2068307	2069686	+	ABX29925.1			aldehyde dehydrogenase (NAD(+))	aldH1		USA300HOU_1923	1380	459	
gene	protein_coding	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	2069676	2069792	-							USA300HOU_1924	117		
CDS	with_protein	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	2069676	2069792	-	ABX29926.1			hypothetical protein			USA300HOU_1924	117	38	
gene	protein_coding	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	2069806	2070834	-							USA300HOU_1925	1029		
CDS	with_protein	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	2069806	2070834	-	ABX29927.1			hypothetical protein			USA300HOU_1925	1029	342	
gene	protein_coding	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	2071104	2071505	+							USA300HOU_1926	402		
CDS	with_protein	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	2071104	2071505	+	ABX29928.1			hypothetical protein			USA300HOU_1926	402	133	
gene	protein_coding	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	2072078	2072251	-							USA300HOU_1927	174		
CDS	with_protein	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	2072078	2072251	-	ABX29929.1			hypothetical protein			USA300HOU_1927	174	57	
gene	protein_coding	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	2072702	2073742	+							USA300HOU_1928	1041		
CDS	with_protein	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	2072702	2073742	+	ABX29930.1			C45 family peptidase			USA300HOU_1928	1041	346	
gene	protein_coding	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	2073799	2074641	-							USA300HOU_1929	843		
CDS	with_protein	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	2073799	2074641	-	ABX29931.1			hypothetical protein			USA300HOU_1929	843	280	
gene	protein_coding	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	2074638	2075195	-							USA300HOU_1930	558		
CDS	with_protein	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	2074638	2075195	-	ABX29932.1			hypothetical membrane protein			USA300HOU_1930	558	185	
gene	protein_coding	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	2075255	2075779	-							USA300HOU_1931	525		
CDS	with_protein	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	2075255	2075779	-	ABX29933.1			hypothetical protein			USA300HOU_1931	525	174	
gene	protein_coding	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	2075900	2076463	+							USA300HOU_1932	564		
CDS	with_protein	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	2075900	2076463	+	ABX29934.1			hypothetical protein			USA300HOU_1932	564	187	
gene	protein_coding	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	2076529	2077269	-							USA300HOU_1933	741		
CDS	with_protein	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	2076529	2077269	-	ABX29935.1			hypothetical membrane protein			USA300HOU_1933	741	246	
gene	protein_coding	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	2077269	2078141	-							USA300HOU_1934	873		
CDS	with_protein	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	2077269	2078141	-	ABX29936.1			ABC superfamily ATP binding cassette transporter, ABC protein			USA300HOU_1934	873	290	
gene	protein_coding	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	2078138	2078818	-							USA300HOU_1935	681		
CDS	with_protein	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	2078138	2078818	-	ABX29937.1			hypothetical membrane protein			USA300HOU_1935	681	226	
gene	protein_coding	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	2078819	2079715	-							USA300HOU_1936	897		
CDS	with_protein	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	2078819	2079715	-	ABX29938.1			ABC superfamily ATP binding cassette transporter, ABC protein			USA300HOU_1936	897	298	
gene	protein_coding	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	2079712	2080167	-							USA300HOU_1937	456		
CDS	with_protein	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	2079712	2080167	-	ABX29939.1			GntR family transcriptional regulator			USA300HOU_1937	456	151	
gene	protein_coding	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	2080356	2080532	-							USA300HOU_1938	177		
CDS	with_protein	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	2080356	2080532	-	ABX29940.1			hypothetical protein			USA300HOU_1938	177	58	
gene	protein_coding	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	2080775	2080873	-							USA300HOU_1939	99		
CDS	with_protein	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	2080775	2080873	-	ABX29941.1			hypothetical protein			USA300HOU_1939	99	32	
gene	protein_coding	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	2081073	2082359	+							USA300HOU_1940	1287		
CDS	with_protein	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	2081073	2082359	+	ABX29942.1			aminotransferase			USA300HOU_1940	1287	428	
gene	pseudogene	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	2082683	2083000	-					mapW1		USA300HOU_1941	318		pseudo
gene	protein_coding	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	2082984	2084738	-					mapW2		USA300HOU_1942	1755		
CDS	with_protein	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	2082984	2084738	-	ABX29943.1			cell surface protein MapW2	mapW2		USA300HOU_1942	1755	584	
gene	pseudogene	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	2085127	2085324	+					hlb1		USA300HOU_1943	198		pseudo
gene	protein_coding	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	2085696	2085875	+							USA300HOU_1944	180		
CDS	with_protein	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	2085696	2085875	+	ABX29944.1			hypothetical protein			USA300HOU_1944	180	59	
gene	protein_coding	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	2085955	2086110	-							USA300HOU_1945	156		
CDS	with_protein	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	2085955	2086110	-	ABX29945.1			hypothetical protein			USA300HOU_1945	156	51	
gene	protein_coding	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	2086499	2086849	-							USA300HOU_1946	351		
CDS	with_protein	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	2086499	2086849	-	ABX29946.1			hypothetical protein			USA300HOU_1946	351	116	
gene	misc_RNA	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	2086851	2087533	-					sprD		USA300HOU_nc0017	683		
misc_RNA		GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	2086851	2087533	-				noncoding RNA SprD	sprD		USA300HOU_nc0017	683		
gene	protein_coding	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	2087534	2087983	+					chp		USA300HOU_1947	450		
CDS	with_protein	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	2087534	2087983	+	ABX29947.1			chemotaxis inhibitory protein CHIPS	chp		USA300HOU_1947	450	149	
gene	pseudogene	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	2088078	2088449	-							USA300HOU_1948	372		pseudo
gene	misc_RNA	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	2088540	2089062	+					sprE		USA300HOU_nc0018	523		
misc_RNA		GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	2088540	2089062	+				noncoding RNA SprE	sprE		USA300HOU_nc0018	523		
gene	protein_coding	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	2089063	2089554	-					sak		USA300HOU_1949	492		
CDS	with_protein	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	2089063	2089554	-	ABX29948.1			staphylokinase	sak		USA300HOU_1949	492	163	
gene	protein_coding	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	2089457	2089609	+							USA300HOU_1950	153		
CDS	with_protein	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	2089457	2089609	+	ABX29949.1			hypothetical protein			USA300HOU_1950	153	50	
gene	protein_coding	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	2089745	2090500	-					ami		USA300HOU_1951	756		
CDS	with_protein	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	2089745	2090500	-	ABX29950.1			N-acetylmuramoyl-L-alanine amidase	ami		USA300HOU_1951	756	251	
gene	protein_coding	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	2090512	2090766	-							USA300HOU_1952	255		
CDS	with_protein	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	2090512	2090766	-	ABX29951.1			holin			USA300HOU_1952	255	84	
gene	misc_RNA	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	2090767	2090977	+					sprFG		USA300HOU_nc0019	211		
misc_RNA		GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	2090767	2090977	+				noncoding RNA SprF/SprG	sprFG		USA300HOU_nc0019	211		
gene	protein_coding	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	2090978	2091112	-							USA300HOU_1953	135		
CDS	with_protein	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	2090978	2091112	-	ABX29952.1			hypothetical membrane protein			USA300HOU_1953	135	44	
gene	protein_coding	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	2091304	2091600	-							USA300HOU_1954	297		
CDS	with_protein	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	2091304	2091600	-	ABX29953.1			hypothetical bacteriophage protein			USA300HOU_1954	297	98	
gene	protein_coding	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	2091658	2091945	-							USA300HOU_1955	288		
CDS	with_protein	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	2091658	2091945	-	ABX29954.1			hypothetical bacteriophage protein			USA300HOU_1955	288	95	
gene	protein_coding	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	2091992	2092144	-							USA300HOU_1956	153		
CDS	with_protein	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	2091992	2092144	-	ABX29955.1			hypothetical bacteriophage protein			USA300HOU_1956	153	50	
gene	protein_coding	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	2092134	2095919	-							USA300HOU_1957	3786		
CDS	with_protein	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	2092134	2095919	-	ABX29956.1			hypothetical bacteriophage protein			USA300HOU_1957	3786	1261	
gene	protein_coding	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	2095935	2097419	-							USA300HOU_1958	1485		
CDS	with_protein	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	2095935	2097419	-	ABX29957.1			hypothetical bacteriophage protein			USA300HOU_1958	1485	494	
gene	protein_coding	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	2097416	2101945	-							USA300HOU_1959	4530		
CDS	with_protein	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	2097416	2101945	-	ABX29958.1			bacteriophage tail length tape measure protein			USA300HOU_1959	4530	1509	
gene	protein_coding	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	2102002	2102136	-							USA300HOU_1960	135		
CDS	with_protein	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	2102002	2102136	-	ABX29959.1			hypothetical bacteriophage protein			USA300HOU_1960	135	44	
gene	protein_coding	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	2102190	2102540	-							USA300HOU_1961	351		
CDS	with_protein	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	2102190	2102540	-	ABX29960.1			hypothetical bacteriophage protein			USA300HOU_1961	351	116	
gene	protein_coding	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	2102856	2103500	-							USA300HOU_1962	645		
CDS	with_protein	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	2102856	2103500	-	ABX29961.1			hypothetical bacteriophage protein			USA300HOU_1962	645	214	
gene	protein_coding	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	2103504	2103908	-							USA300HOU_1963	405		
CDS	with_protein	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	2103504	2103908	-	ABX29962.1			hypothetical bacteriophage protein			USA300HOU_1963	405	134	
gene	protein_coding	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	2103905	2104309	-							USA300HOU_1964	405		
CDS	with_protein	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	2103905	2104309	-	ABX29963.1			hypothetical bacteriophage protein			USA300HOU_1964	405	134	
gene	protein_coding	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	2104306	2104668	-							USA300HOU_1965	363		
CDS	with_protein	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	2104306	2104668	-	ABX29964.1			hypothetical bacteriophage protein			USA300HOU_1965	363	120	
gene	protein_coding	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	2104652	2104936	-							USA300HOU_1966	285		
CDS	with_protein	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	2104652	2104936	-	ABX29965.1			hypothetical bacteriophage protein			USA300HOU_1966	285	94	
gene	protein_coding	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	2104926	2105210	-							USA300HOU_1967	285		
CDS	with_protein	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	2104926	2105210	-	ABX29966.1			hypothetical bacteriophage protein			USA300HOU_1967	285	94	
gene	protein_coding	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	2105230	2106375	-							USA300HOU_1968	1146		
CDS	with_protein	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	2105230	2106375	-	ABX29967.1			hypothetical bacteriophage protein			USA300HOU_1968	1146	381	
gene	protein_coding	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	2106399	2107136	-							USA300HOU_1969	738		
CDS	with_protein	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	2106399	2107136	-	ABX29968.1			S14 family endopeptidase ClpP			USA300HOU_1969	738	245	
gene	protein_coding	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	2107120	2108307	-							USA300HOU_1970	1188		
CDS	with_protein	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	2107120	2108307	-	ABX29969.1			possible bacteriophage portal protein			USA300HOU_1970	1188	395	
gene	protein_coding	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	2108323	2109984	-							USA300HOU_1971	1662		
CDS	with_protein	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	2108323	2109984	-	ABX29970.1			terminase large subunit			USA300HOU_1971	1662	553	
gene	protein_coding	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	2109981	2110325	-							USA300HOU_1972	345		
CDS	with_protein	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	2109981	2110325	-	ABX29971.1			hypothetical protein			USA300HOU_1972	345	114	
gene	protein_coding	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	2110455	2110754	-							USA300HOU_1973	300		
CDS	with_protein	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	2110455	2110754	-	ABX29972.1			hypothetical protein			USA300HOU_1973	300	99	
gene	protein_coding	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	2110986	2111402	-							USA300HOU_1974	417		
CDS	with_protein	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	2110986	2111402	-	ABX29973.1			hypothetical bacteriophage protein			USA300HOU_1974	417	138	
gene	protein_coding	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	2111430	2111630	-							USA300HOU_1975	201		
CDS	with_protein	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	2111430	2111630	-	ABX29974.1			hypothetical bacteriophage protein			USA300HOU_1975	201	66	
gene	protein_coding	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	2111630	2111779	-							USA300HOU_1976	150		
CDS	with_protein	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	2111630	2111779	-	ABX29975.1			hypothetical bacteriophage protein			USA300HOU_1976	150	49	
gene	protein_coding	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	2111776	2112162	-							USA300HOU_1977	387		
CDS	with_protein	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	2111776	2112162	-	ABX29976.1			hypothetical bacteriophage protein			USA300HOU_1977	387	128	
gene	protein_coding	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	2112159	2112365	-							USA300HOU_1978	207		
CDS	with_protein	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	2112159	2112365	-	ABX29977.1			hypothetical bacteriophage protein			USA300HOU_1978	207	68	
gene	protein_coding	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	2112362	2112598	-							USA300HOU_1979	237		
CDS	with_protein	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	2112362	2112598	-	ABX29978.1			hypothetical bacteriophage protein			USA300HOU_1979	237	78	
gene	protein_coding	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	2112644	2113177	-					dut		USA300HOU_1980	534		
CDS	with_protein	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	2112644	2113177	-	ABX29979.1			dUTP diphosphatase	dut		USA300HOU_1980	534	177	
gene	protein_coding	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	2113170	2113412	-							USA300HOU_1981	243		
CDS	with_protein	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	2113170	2113412	-	ABX29980.1			hypothetical protein			USA300HOU_1981	243	80	
gene	protein_coding	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	2113402	2113638	-							USA300HOU_1982	237		
CDS	with_protein	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	2113402	2113638	-	ABX29981.1			hypothetical bacteriophage protein			USA300HOU_1982	237	78	
gene	protein_coding	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	2113631	2114002	-							USA300HOU_1983	372		
CDS	with_protein	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	2113631	2114002	-	ABX29982.1			hypothetical bacteriophage protein			USA300HOU_1983	372	123	
gene	protein_coding	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	2114011	2114253	-							USA300HOU_1984	243		
CDS	with_protein	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	2114011	2114253	-	ABX29983.1			hypothetical bacteriophage protein			USA300HOU_1984	243	80	
gene	protein_coding	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	2114257	2114625	-							USA300HOU_1985	369		
CDS	with_protein	GCA_000017085.1	Primary Assembly	chromosome		CP000730.1	2114257	2114625	-	ABX29984.1			hypothetical bacteriophage protein			USA300HOU_1985	369	122	
